SpeciesCode,Class,Order,Family,Genus,Species,SubSpecies,CommonName,Introduced,Meshaka,ThisStudy,Comments
Lge,Reptilia,Squamata/Serpentes,Colubridae,Lampropeltus,getula,floridana,Florida kingsnake,0,1,1,
LGRY,Amphibia,Anura,Ranidae,Rana,grylio,,pig frog,0,1,1,
Lke,Reptilia,Testudines,Cheloniidae,Lepidochelys,kempii,,Atlantic ridley,0,1,0,
LSPH,Amphibia,Anura,Ranidae,Rana,sphenocephala,,Florida leopard frog,0,1,1,
Ltr,Reptilia,Squamata/Serpentes,Colubridae,Lampropeltus,triangulum,elapsoides,scarlet kingsnake,0,1,0,
Mfu,Reptilia,Squamata/Serpentes,Elapidae,Micrurus,fulvius,fulvius,eastern coral snake,0,1,0,
Mtm,Reptilia,Testudines,Emydidae,Malaclemys,terrapin,macrospilota,ornate diamondback terrapin,0,1,0,
Mtr,Reptilia,Testudines,Emydidae,Malaclemys,terrapin,rhizophorarum,mangrove diamondback terrapin,0,1,0,
Mtt,Reptilia,Testudines,Emydidae,Malaclemys,terrapin,tequesta,Florida east coast diamondback terrapin,0,1,0,
Ncl,Reptilia,Squamata/Serpentes,Colubridae,Nerodia,clarkii,compressicauda,mangrove salt marsh snake,0,1,1,
Nfa,Reptilia,Squamata/Serpentes,Colubridae,Nerodia,fasciata,pictiventris,Florida water snake,0,1,1,
Nfl,Reptilia,Squamata/Serpentes,Colubridae,Nerodia,floridana,,Florida green water snake,0,1,1,
Nta,Reptilia,Squamata/Serpentes,Colubridae,Nerodia,taxispilota,,brown water snake,0,1,1,
Nvi,Amphibia,Caudata,Salamandridae,Notopthalmus,viridscens,priapicola,peninsula newt,0,1,1,
Oae,Reptilia,Squamata/Serpentes,Colubridae,Opheodrys,aestivus,,rough green snake,0,1,1,
Oco,Reptilia,Squamata/Sauria,Anguidae,Ophiosaurus,compressus,,island glass lizard,0,1,1,
OSEP,Amphibia,Anura,Hylidae,Osteopilus,septentrioinalis,,Cuban treefrog,1,1,1,
Pax,Amphibia,Caudata,Sirenidae,Pseudobranchus,axanthus,belli,Everglades dwarf siren,0,1,0,
Pfl,Reptilia,Testudines,Emydidae,Pseudemys,floridana,peninsularis,peninsula cooter,0,1,1,
Pmo,Reptilia,Squamata/Serpentes,Boidae,Python,molorus,bivittatus,Burmese python,1,1,1,
Pne,Reptilia,Testudines,Emydidae,Pseudemys,nelsoni,,Florida redbelly turtle,0,1,1,
PNIG,Amphibia,Anura,Hylidae,Pseudacris,nigrita,verrucosa,Florida chorus frog,0,1,1,
POCC,Amphibia,Anura,Hylidae,Pseudacris,occularis,,little grass frog,0,1,1,
Ral,Reptilia,Squamata/Serpentes,Colubridae,Regina,alleni,,striped crayfish snake,0,1,1,
Rbr,Reptilia,Squamata/Serpentes,Typhlopidae,Ramphotyphlops,braminus,,Brahminy blind snake,1,1,0,
RMAR,Amphibia,Anura,Bufonidae,Bufo,marinus,,giant toad,1,0,1,Not previously reported from EVER
Sde,Reptilia,Squamata/Serpentes,Colubridae,Storeria,dekayi,victa,Florida brown snake,0,1,1,
Sin,Amphibia,Caudata,Sirenidae,Siren,intermedia,,lesser siren,0,0,0,Does not occur in EVER
Slc,Amphibia,Caudata,Sirenidae,Siren,lacertina,,greater siren,0,1,1,
Slt,Reptilia,Squamata/Sauria,Scincidae,Scincela,lateralis,,ground skink,0,1,1,
Smi,Reptilia,Squamata/Serpentes,Viperidae,Sistrurus,miliaris,barbouri,dusky pigmy rattlesnake,0,1,1,
Sno,Reptilia,Squamata/Sauria,Gekkonidae,Sphaerodactylus,notatus,notatus,Florida reef gecko,0,1,0,
Sod,Reptilia,Testudines,Kinosternidae,Sternotherus,odoratus,,common musk turtle,0,1,0,
Spy,Reptilia,Squamata/Serpentes,Colubridae,Seminatrix,pygea,cyclas,South Florida swamp snake,0,1,0,
Tca,Reptilia,Testudines,Emydidae,Terrapene,carolina,bauri,Florida box turtle,0,1,1,
Tsa,Reptilia,Squamata/Serpentes,Colubridae,Thamnophis,sauritus,sackenii,peninsula ribbon snake,0,1,1,
Tsi,Reptilia,Squamata/Serpentes,Colubridae,Thamnophis,sirtalis,sirtalis,eastern garter snake,0,1,1,
